question,answers
what is the ideal storage temperature for beans?, between 10-15�C
Which type of maize is good for storage,The type of maize that is good for storage is one that has a high dry matter content and a hard outer layer. This helps to prevent moisture from getting into the kernel and reduces the risk of spoilage during storage
what is the ideal spacing between cassava stems.,about 75-100 cm
How can i control the buying of fake agrochemicals,"Buy from reputable suppliers: It's important to purchase agrochemicals from reputable suppliers that have a good track record and are known for selling high-quality products. You can ask for recommendations from other farmers, agricultural extension officers, or trusted agrochemical dealers."
Name factors that causes seed dormancy," mechanical barriers, chemical inhibitors, immature embryos, scarification requirements, and environmental cues"
what are some of the disease prevention strategies that farmers can use.,"vaccination programs, quarantine protocols, and biosecurity measures"
Can cassava stems be planted immediately after cutting or they can wait for sometime?,"Cassava stems can be planted immediately after cutting, but it is recommended to allow the cuttings to dry for a few hours in a shaded area before planting. This will help to reduce the risk of fungal infection and other diseases."
what is Aquaculture,production of fish for human consumption
Maize flour obtained after starch extraction is commonly referred as?,"""maize meal"" or ""corn meal,"""
name examples of Potassium-based fertilizers.," potassium sulfate or potassium chloride,"
Why is CAN is generally preferred for top dressing in maize.,"it releases nitrogen slowly, over a period of several weeks, which helps to avoid leaching and loss of nitrogen."
name the steps the farmer can use to control pest after detection the garden.,"Identify the disease: Try to identify the specific disease affecting the cassava plants. Observe the symptoms, such as leaf discoloration, wilting, lesions, or any other unusual signs. You can consult local agricultural extension services, agricultural experts, or plant pathologists to help identify the disease accurately.

Isolate and remove infected plants: If the disease is confirmed, promptly isolate and remove the infected plants from the field. This prevents further spread of the disease to healthy plants. Properly dispose of the infected plants by burning, burying, or removing them from the field.

Sanitize tools and equipment: Clean and sanitize any tools, equipment, or machinery that have come into contact with the infected plants. This helps prevent the disease from spreading to other fields or areas.

Implement cultural practices: Adopt cultural practices that can help manage or control the disease. These may include adjusting planting density, optimizing nutrition and irrigation practices, and practicing crop rotation. Some diseases may be controlled by removing alternate host plants or weeds that can serve as reservoirs for the pathogens.

Seek expert advice: Consult local agricultural extension services, agricultural experts, or plant pathologists for specific recommendations on disease management strategies. They can provide guidance on appropriate fungicides or other control measures if necessary.

Monitor and scout regularly: Continuously monitor the field to track the spread and severity of the disease. Regular scouting helps identify any new infections and allows for timely intervention."
What is the effect of Cassava Mosaic Disease (CMD) in severe condition.,yield losses of up to 100%
why is crop rotation important?, help to maintain soil health and improve crop yields over time
"what are some potential advantages of intercropping maize with groundnuts:
","Nutrient complementarity: Maize and groundnuts have different nutrient requirements, and by intercropping them, you can maximize the use of available nutrients in the soil. Groundnuts fix atmospheric nitrogen, enriching the soil with this essential nutrient, which can benefit the maize crop.

Pest and disease management: Intercropping can help reduce pest and disease pressure. For example, maize can act as a ""trap crop"" for certain pests, diverting them away from groundnuts. Additionally, groundnuts release certain compounds into the soil that can suppress certain soil-borne diseases, benefiting both crops.

Efficient land use: Intercropping allows for the efficient use of limited land resources, as you can cultivate two different crops in the same area. This can be especially beneficial for small-scale farmers with limited land availability."
What are the ideal conditions for planting maize?,Maize requires well-draining soils with a pH level between 5.5 and 7.5. The site should also receive full sunlight to promote optimal growth
What maize variety is drought resistant?,DroughtGard: This is a genetically modified maize variety that has been engineered to be resistant to drought.
does harvesting maize early before its dried causes mycotoxin contamination?,"Maize that is harvested before it is fully dried is at a higher risk of mycotoxin contamination, which can pose health risks to both humans and animals if consumed."
which nutrients do beans require for their growth.,"Beans require adequate levels of nitrogen, phosphorus, and potassium"
define field capacity?,"This refers to the maximum amount of water the soil can hold after it has been thoroughly wetted and excess water has drained away. At field capacity, there is enough water in the soil for plants to use, but excess water has drained away, leaving air spaces in the soil."
name the pre-cultivation requirements are important for ensuring a healthy and high-yielding cassava crop.,"Proper land preparation, seed selection, and pest and disease control are critical for successful cassava production"
"in order to guard against drought, farmers should invest in soil conservation measures to improve soil health and water-holding capacity. They can use techniques such as?","conservation tillage practices, crop rotation, cover cropping, and mulching to reduce soil erosion, increase organic matter, and improve water infiltration"
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
what are some of the symptoms  and signs of CAD,"small, circular, water-soaked spots on leaves that expand into larger, dark brown or black lesions. Infected leaves may become distorted and dry up"
which genetical method are researchers are exploring to control whitefly., RNA interference (RNAi)
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
what is Integrated Pest Management?,"IPM is a holistic approach to pest management that emphasizes the use of multiple methods to control pests, including biological control, cultural control, and chemical control"
Are genetically modified organisms (GMOs) the only organisms with genes?,"No. Living or once living things contain genes, whether they are genetically modified or not. �Gene� is the root word for genetics. Genes are located on chromosomes"
what water managing techniques can a farmer user to guard against drought?,mulching
what is the required depth of planting cassava.,about 5 to 7 centimeters
"Any maize markets out there?
",Nakasero Market
"In growing Irish potatoes,row planting and use of holes, which one conserves fertilizers?",Row planting
name any Environmental issues.,"depletion of aquifers, deforestation, antibiotic resistance"
what is hay,"(dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures"
which variety of maize has a hard outer layer and is typically used for animal feed.,Flint maize
"which pest feed on the sap of the bean plant, causing stunting and distortion of the leaves",Bean aphids (Aphis fabae)
How effective is single super phosphate and  sulphate of ammonia when applied to crops,"The application of CAS can positively impact crop yield, especially when applied at the right time and in appropriate amounts.
"
why do beans need to be intercropped with groundnuts and other legumes.,"roundnuts fix nitrogen in the soil, which can benefit the growth of other crops. Groundnuts can also provide a support structure for climbing beans."
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
what is the importance of chlorophyll.,is necessary for photosynthesis and plant growth.
name the various forms in which fertilizers can be applied?,"granular, liquid, and foliar applications."
which people used small windmills to generate electricity in rural areas,Americans 
Which cassava disease is the most devastation in Uganda?,Cassava Brown Streak Disease (CBSD)
"Adjumani district, what are the necessary conditions for cassava germination",Cassava seeds germinate best in warm soil with temperatures between 25�C to 30�C.
How can agronomist overcome problems due to persistent use of fertilizers? ,"Regular soil testing helps determine the nutrient levels in the soil and allows for tailored fertilizer recommendations. Agronomists can assess the nutrient needs of specific crops and apply fertilizers accordingly, avoiding over-application. This helps maintain nutrient balance and prevents nutrient imbalances or excesses."
any maize market out there?,There are several markets available but all depends on where you are based.Where are you based
why is sit recommended to conduct soil test?,to determine the nutrient status of your soil and to consult with local agricultural extension services or agronomists for precise fertilizer recommendations based on your specific location.
how is mulching use to control soil erosion in kigezi region.," Applying mulch, such as crop residues, grass clippings, or organic materials, on the soil surface helps to protect the soil from erosion by reducing the impact of raindrops and improving water infiltration. Mulch also helps to retain moisture and suppress weed growth."
what other role does water play in the soil.," Water is also needed for photosynthesis, the process by which plants use sunlight to convert carbon dioxide and water into energy in the form of glucose. Without water, plants cannot produce the energy they need for growth and reproduction."
Can farmers save and replant GMO seeds?,"GMO seeds, like any others, can be saved and replanted"
why are cover crops used in cassava cultivation.,to suppress weed growth and improve soil fertility.
which natural water can fish grow in?,"ponds, lakes, rivers, and streams"
what does the beetle feeds on?,"Both types of beetles feed on the leaves and stems of cassava plants, causing them to wilt, yellow and eventually die."
which type of cancer are high among agricultural workers.,"Leukemia, Non?Hodgkin lymphoma and skin cancer "
what is Integrated Pest Management?,"IPM is a holistic approach to pest management that emphasizes the use of multiple methods to control pests, including biological control, cultural control, and chemical control"
Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences."
Does organic farming contribute to less pollution?,Yes
which plants prefer acidic soils with a pH range between 4.5 and 6.0.,Rhododendrons and Azaleas
whats the botanical name of african armyworm,Spodoptera exempta
give examples of Potassium Fertilizers.,potassium chloride and potassium sulphate
what are some of the signs of cutworms.,damaged stems and cut plants
how are fungi beneficial to soil.,"hese fungi can form symbiotic relationships with plant roots, helping to improve nutrient uptake and plant growth.
"
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
"Besides cow dung and urine, what does farmyard manure contain.",Animal bedding
List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
How long should a farmer wait to plant cassava in a field which was affected by cbsd?,"Farmers should wait for at least 6 months to 1 year before planting cassava in a field that was affected by Cassava Brown Streak Disease (CBSD). This allows enough time for the virus to die off or decrease in the soil. During this period, the farmer should practice proper land preparation, including removing all cassava crop debris and weed the field to reduce the build-up of virus inoculum in the soil."
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
what is being used to monitor to pest populations in the canopy.,Pheromone traps
which human activities causes drought.," over-extraction of groundwater, water pollution, and inefficient water use can exacerbate drought conditions and reduce the availability of water for agriculture, industry, and domestic use"
What is necessary to facilitate seedling growth during the germination process?,to ensure adequate moisture levels during the germination process
which other DK varieies are available in amolatar?,"DK 9093, DK 8073, and DK 8031"
"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus 
Suggest the advantages of clay soil,"Poor drainage: Clay soils have small pore spaces, which can lead to slow drainage and waterlogging in areas with heavy rainfall. This can reduce soil aeration and lead to root rot in some crops.
Heavy and difficult to work: Clay soils are heavy and can be difficult to till and cultivate with farming equipment.
Slow to warm up: Clay soils can be slow to warm up in the spring, which can delay planting and crop growth.
Prone to compaction: Clay soils are prone to compaction, which can reduce soil aeration and root growth."
what is GMO in full?,Genetically Modified Crops
how can the nutritional value of maize flour obtained after starch extraction be increased.,"it can be fortified with vitamins and minerals such as iron, folic acid, and vitamin A"
what does Cassava Anthracnose Disease: causes.,"dark spots on the leaves, stem, and root"
Which soil is better for maize production?,"Maize requires well-drained soils with a good supply of nutrients and moisture. It cannot withstand even a slight degree of waterlogging and therefore can be killed if stands in water for a day. Preferred soil for maize production should also be deep, well-aerated with moderate pH 5.5-6.5, and rich in organic matter."
Can over boiling maize make it loss Carbohydrates?," Boiling maize grains does not significantly affect the carbohydrate content, so the length of time for boiling is not critical for this nutrient."
how do farmers control soil erosion.,farmers use conservation practices like planting cover crops in the winter or using conservation tillage practices
why should cassava not be stack too high.,the weight of the tubers can cause them to crush and spoil.
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
what happens to African armyworms first after emerging from pupation,hey allow their bodies to dry off and their wings to harden before climbing trees
name any Environmental issues.,"depletion of aquifers, deforestation, antibiotic resistance"
how is glue made from cassava?,"To make cassava glue, the cassava root is first peeled, washed, and grated into a pulp. The pulp is then soaked in water to release the starch, which is then separated from the fibrous material. The starch is then heated and mixed with water to create a thick, sticky paste."
how can nutrient management help in improving red soil.,"Conduct a soil test to determine the nutrient deficiencies in the soil. Based on the test results, apply the necessary fertilizers to provide adequate levels of essential nutrients, such as nitrogen, phosphorus, and potassium. This helps to optimize plant growth and yield."
Which common chemical is used for seed dressing,thiram
how does thiram works?,Thiram works by inhibiting fungal growth and disrupting the nervous system of insects that may feed on the seedlings.
"For example, if the beans are infested with bean weevils or bean fly, when is it recommended to spray?","it is recommended to apply insecticides at the early stages of plant growth, when the pests are most active"
what is High fructose corn syrup,is a common sweetener in sodas and drinks
what type of soil can cause cassava plant to die prematurely.,"soil with high salinity or acidity, can cause the plants to dry out and die prematurely"
what are some of the disease prevention strategies that farmers can use.,"vaccination programs, quarantine protocols, and biosecurity measures"
what does  nitrogen deficiency causes?,"stunted growth, yellowing leaves, and reduced yield."
how does Nutrient deficiencies lead to cassava drying out before maturity.,"Cassava plants require adequate levels of nutrients, especially nitrogen, phosphorus, and potassium, to grow and mature properly. Nutrient deficiencies can cause the plants to dry out and die prematurely"
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
What are the example of bitting and chewing pest,"Caterpillars: Caterpillars are the larvae of butterflies and moths. They have strong mandibles and feed on leaves, causing defoliation. Examples include armyworms, cutworms, and corn earworms.

Beetles: Beetles have biting mouthparts and can cause damage by feeding on leaves, stems, and fruits. Examples include Colorado potato beetle, cucumber beetle, and flea beetles."
what is mound planting.,Mound planting involves creating mounds or hills by heaping soil around the base of the cassava stem
what is plant biotechnology,a set of techniques used to adapt plants for specific needs or opportunities
Why are pigs so dirty?,"Because pigs will eat almost anything, they have traditionally been fed farm leftovers and waste."
what is Maize cob.,is the central part of the maize ear that contains the kernels. It is typically used as animal feed and is less commonly consumed by humans. Maize cob has a lower nutritional value compared to milled maize as it contains more fiber and less starch.
which beneficial microorganisms are contained in microbial fertilizers.,bacteria and fungi
what does Cassava Anthracnose Disease: causes.,"dark spots on the leaves, stem, and root"
where are the south americans beetles,South America
name the importance of water to soil steucture.,"Water can also affect soil structure by helping to bind soil particles together. This can improve soil stability, reduce erosion, and promote better water and nutrient retention."
which countries import  maize from Uganda.,"Kenya, Rwanda and Burundi."
What are Community seed banks,Community seed banks are local repositories of seeds and cuttings that are adapted to the local environment. These seed banks are often managed by farmers themselves and can be a good source of quality seeds and cuttings.
How is intercropping helpful in cassava production.,This helps to maximize land use and improve soil fertility
what is the required PH for cassava growth.,pH of 5.5-6.5
Which fertilizers is applied to crops in 4-6 weeks after germination to promote rapid growth,"In the 4-6 weeks after germination, crops can benefit from the application of nitrogen-rich fertilizers to promote rapid growth. Nitrogen is an essential nutrient for plant growth and is often required in higher amounts during the early stages of development"
which beneficial microorganisms are contained in microbial fertilizers.,bacteria and fungi
why should you use mound planting.,"method ensures good soil drainage, which is essential for cassava growth. It also helps to reduce soil erosion and increases yields"
What type of soil is beans doing well,"Beans generally do well in soil that is well-draining, fertile, and rich in organic matter. The ideal soil for beans is a sandy loam soil with a pH range of 6.0 to 7.0. The soil should also be free of pests and diseases that can damage the plants.
"
what factors leads to cassava price variation.," location, market demand, and quality of the cassava"
What is the recommended dosage of fertilizer for growing strawberries in sandy soil?,"Generally, a balanced fertilizer with an NPK ratio of 10-10-10 is recommended for sandy soil. However, the exact dosage may vary depending on the specific soil conditions and the age of the plants"
How can agronomist overcome problems due to persistent use of fertilizers? ,"Regular soil testing helps determine the nutrient levels in the soil and allows for tailored fertilizer recommendations. Agronomists can assess the nutrient needs of specific crops and apply fertilizers accordingly, avoiding over-application. This helps maintain nutrient balance and prevents nutrient imbalances or excesses."
"which control method employs the use of beneficial insects like ladybugs or lacewings, or the release of whitefly-specific parasites or predators.",Biological contro
Which agricultural method can be used to improve on soil fertility,fertilizer applications
why should farmers implement disease prevention strategies., to prevent the spread of disease among their livestock
what is Integrated Pest Management?,"IPM is a holistic approach to pest management that emphasizes the use of multiple methods to control pests, including biological control, cultural control, and chemical control"
what is the recommended season for planting cassava., It is recommended to plant cassava at the beginning of the rainy season when there is enough moisture in the soil.
"Is buying organic food better for the environment than buying food
produced conventionally?
","Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
"the product of consistent modification by scientists are called?
",GMOs 
how does thiram works?,Thiram works by inhibiting fungal growth and disrupting the nervous system of insects that may feed on the seedlings.
what are the different methods of pest management?,"biological control, cultural control, and chemical contro"
what is the importance of humidity.,"High humidity can promote the growth of fungal diseases, while low humidity can increase water stress on plants. Crop-specific humidity requirements vary, and farmers need to consider the ideal humidity levels for their crops."
why do farmers have low cancer and death rates.,This is due primarily to lower smoking rates among farmers and a very active lifestyle
Is global hunger caused by a shortage of food?,"Not necessarily. In many cases, hunger is not caused by a shortage of food"
what is Payment for ecosystem services., is a method of providing additional incentives to encourage farmers to conserve some aspects of the environment
what are some of the tips on how to best use PICS bags for storing maize grains.,"Clean and dry the grains: Before storing maize grains in PICS bags, make sure that they are thoroughly cleaned and dried to a moisture content of around 12-13%. This will help prevent mold and insect growth.

Fill the bags completely: Fill the PICS bags completely with the maize grains, leaving no empty space. This will help prevent the buildup of oxygen and moisture, which can lead to spoilage and insect growth.

Seal the bags tightly: After filling the bags with maize grains, seal them tightly using the PICS bag sealer or a heat sealer. Make sure that there are no holes or leaks in the bags, as this can allow air and moisture to enter.

Store the bags in a cool and dry place: Store the PICS bags in a cool and dry place, away from direct sunlight and sources of moisture. A well-ventilated room or a grain storage facility is ideal for storing PICS bags.

Check the bags regularly: Check the PICS bags regularly for any signs of damage, such as holes or leaks, and for any signs of insect or mold growth. If any damage or signs of infestation are found, take immediate action to prevent further damage."
what can happen to maize that is harvested before it is fully dried.,"may not store well, as the moisture content is higher and the grain is more prone to spoilage and insect damage."
what are combine harvesters?,"machines, which are loaded with technology, are very efficient and combine all three jobs of cutting, collecting, and threshing a crop"
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
Do farmers waste water?,"Water is necessary to grow plants that provide food, fiber and shelter for the world"
what is irrigation?,Irrigation is the process of applying water to crops in order to help them grow
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
what is another name for cassava whitefly.,Bemisia tabaci
What is the right spacing of cassava,"The recommended spacing for cassava depends on various factors such as the variety of cassava, soil fertility, and the intended use of cassava (for roots or leaves). However, a commonly used spacing for cassava is around 1 meter (3 feet) between plants within rows and 1.5 to 2 meters (5 to 6.5 feet) between rows. This spacing allows sufficient room for the cassava plants to grow and develop a healthy root system. It is advisable to consult local agricultural extension services or cassava experts for specific spacing recommendations tailored to your local conditions."
what does the number 10-20-10 represent in  fertilizers.,"the numbers represent the percentage of N, P, and K, respectively"
How often can i sprinkle liquid manure?,"Generally, liquid manure can be applied every 2-4 weeks during the growing season for most crops. However, it is important to avoid over-application, which can lead to nutrient imbalances, water pollution, and plant damage."
what is the taste of fresh maize.,"Fresh maize has a sweet, juicy flavor and a soft, tender texture,"
how can tillage be used to control Couch grass., involves digging up the soil to a depth of at least 6 inches to disrupt the root system of the grass
What is CAN.,"CAN is a granular fertilizer that contains a mixture of calcium and ammonium nitrate. It is a good source of both calcium and nitrogen, which are important for plant growth"
which fungi causes root rot ?,"Fusarium, Pythium, and Phytophthora"
how has methane emissions negatively impacted crop yields.,by increasing temperatures and surface ozone concentrations.
name other chemicals used for seed dressing.,"imidacloprid, clothianidin, and thiamethoxam, which are neonicotinoid insecticides."
name the activities of crop maintanance.,"weed and pest control, fertilization, and irrigation."
what the advantages of natural food?,make cows produce more milk and chickens produce more eggs
what is the effect severe CBSD , reducing yields and making cassava roots unsuitable for consumption or processing
name the pre-cultivation requirements are important for ensuring a healthy and high-yielding cassava crop.,"Proper land preparation, seed selection, and pest and disease control are critical for successful cassava production"
"how does precision agriculture technologies, such as remote sensing, soil sensors, and variable-rate application systems help farmers and agronomist.",allow agronomists to optimize fertilizer use by applying nutrients precisely where and when they are needed. This helps reduce wastage and environmental impact.
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
How can local maize breeds be improved  on productivity?,"Selective breeding: This involves selecting the best plants in terms of yield, disease resistance, and other desirable traits and using them as parents to produce offspring with improved traits."
What is the appropriate distance for planting beans,"The appropriate distance for planting beans can vary depending on several factors such as the bean variety, soil fertility, and available resources. However, as a general guideline, bush beans are typically planted with a spacing of 6-8 inches (15-20 cm) between plants and 18-24 inches (45-60 cm) between rows. This spacing allows the plants to have enough room for proper growth, airflow, and access to sunlight. For pole beans, which require support, you can plant them in rows spaced about 3 feet (90 cm) apart, with the plants spaced 6-8 inches (15-20 cm) apart within the rows."
why do beans need to be intercropped with groundnuts and other legumes.,"roundnuts fix nitrogen in the soil, which can benefit the growth of other crops. Groundnuts can also provide a support structure for climbing beans."
what is fumigation.,"is the treatment of a structure to kill pests such as wood-boring beetles by sealing it or surrounding it with an airtight cover such as a tent, and fogging with liquid insecticide for an extended period, typically of 24�72 hours"
What causes bean pods to develop water ?," Excessive irrigation or heavy rainfall can result in waterlogged soil, leading to the absorption of excess water by the bean plants. This excess water can accumulate in the pods, causing them to become water-filled."
how does climate change affects agriculture.,"through changes in average temperatures, rainfall, and weather extremes (like storms and heat waves); changes in pests and diseases; changes in atmospheric carbon dioxide and ground-level ozone concentrations; changes in the nutritional quality of some foods; and changes in sea level"
What causes cassava trees to dry before maturity?,"Pest and disease infestations: Cassava plants are susceptible to a range of pests and diseases that can cause them to wilt, dry out, and die prematurely. Common pests include cassava green mites, cassava mealybugs, and cassava brown streak virus, while common diseases include cassava mosaic virus and bacterial blight. Proper pest and disease management, including timely application of appropriate pesticides and use of disease-resistant cassava varieties, can help to prevent premature drying of cassava plants"
Which fertilizer is good for planting beans?," a fertilizer with a higher ratio of phosphorus and potassium, such as 10-20-20 or 15-30-15, would be suitable for planting beans"
which herbicide kills all plants except those with genetic tolerance.,Glyphosate 
How can a farmer control termites,"One of the best ways to control termites is through good cultural practices. This includes maintaining good soil health and fertility, avoiding over-watering or waterlogging, and keeping crop residues and weeds under control. These practices can help to create a less favorable environment for termites and reduce their populations."
"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?", land used f
how long does the adult live.,up to 14 days.
what are some of the challenges in growing apples?,"� Apple seedlings are imported and costly
� Birds and thieves are giving many farmers sleepless nights.
� Few areas are favourable for Apple Growing
� High competition with imported apples
Market"
why are Effective livestock management practices are essential.,"for keeping animals healthy and productive, which in turn helps to ensure the profitability of the farm"
what are some of the pest management practices for armyworm.,"planting cassava in well-drained soil, maintaining a healthy crop by providing adequate water and nutrients, and rotating crops to reduce armyworm populations."
why not fully dried maize susceptibility to mold and insect damage.,the moisture content is higher
name examples of phosphorous fertilizers,triple superphosphate and diammonium phosphate.
what median age of farmers in the US,57.5 years
what is Integrated pest management: Integrated pest management (IPM)?,"Integrated pest management (IPM) is an approach that combines several control methods to effectively manage pest populations while minimizing negative impacts on the environment. By using a combination of cultural practices, biological control methods, physical barriers, and targeted use of pesticides, farmers can effectively control termite populations while minimizing negative impacts on the environment."
Is sandy soil better than clay soil  when growing beans?, neither soil type is inherently better or worse for growing beans
which other field is RFID being used?,hay
how is farmyard manure derived?,"Farmyard manure is typically derived from animal waste, such as cow dung, and contains a mix of organic matter, nutrients, and microorganisms. It provides a slow-release source of nutrients and helps improve soil structure and moisture retention."
why does the use of herbicides requires proper training and application.,to avoid damage to the cassava plants and the environment
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
how is long 2H spaced.,is given a spacing of 75x30m with a seed rate of 25kg/ha so does other varieties.
which preservatives causes hormonal disruption., parabens and BHA/BHT
Maize flour obtained after starch extraction is commonly referred as?,"""maize meal"" or ""corn meal,"""
Why is diammonium phosphate put in planting hole.,"Diammonium phosphate (DAP) is often used as a fertilizer in planting holes for several reasons. Firstly, DAP contains both nitrogen and phosphorus, which are essential nutrients for plant growth and development. Nitrogen is necessary for the formation of proteins, chlorophyll, and other important molecules in plants, while phosphorus is needed for root growth, flower and seed development, and overall plant health.
"
what are green manure used for?,to manage a range of soil macronutrients and micronutrients
what is the required PH for cassava growth.,pH of 5.5-6.5
wat is the vitalness of calcium?,"Calcium plays a crucial role in plant development and helps in cell wall formation, nutrient uptake, and overall plant health"
how does clover cover crop enhanced songbird habitat.,"by providing cover and nesting sites, and an increased food source from higher arthropod populations"
What maize variety is drought resistant?,DroughtGard: This is a genetically modified maize variety that has been engineered to be resistant to drought.
how can you ensure sanitation control CBB.,"Infected plant debris should be removed from the field, and tools and equipment should be disinfected to prevent the spread of CBB"
what the advantages of natural food?,make cows produce more milk and chickens produce more eggs
which environmental condition does the Cassava green mite have.,hot and dry conditions
when do adults emerge?,in 7 to 10 days
name any one planting method that is suitable for large scale farmers.,Mechanical planting of cassava
Name one breed of a horse,ponies
why should the garden be harrowed after ploughing.,to break down any large clumps and create a fine tilth for planting
Name the pest control management practices.," Chemical (pesticides), biological (biocontrol), mechanical (tillage), and cultural practices are used"
what is available water capacity.,This refers to the amount of water in the soil that is available to plants between field capacity and the wilting point. This is the amount of water that plants can use without becoming water-stressed.
what chemical methods are used to control termites.,"baits, soil treatments, and wood treatments"
Which agricultural method can be used to improve on soil fertility,incorporating cover crops that add organic matter to the soil
how do the moths migrate?,"migration is based on winds brought by the Intertropical Convergence Zone, which move northwards or southwards depending on the season"
name two fertilizers used to grow cassava.,compound fertilizers that provide several nutrients together and single-nutrient fertilizers.
What maize variety is drought resistant?,DroughtGard: This is a genetically modified maize variety that has been engineered to be resistant to drought.
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
define Livestock management practices?," practices involve a range of activities and strategies that are designed to keep animals healthy, productive, and profitable"
what are some of the ways of managing armyworms.,"use of insecticides, such as pyrethroids or neem oil, applied directly to the cassava plant or to the soil."
name plants that uses C3 carbon fixation.,alfalfa and soybeans
How can a farmer control termites,"One of the best ways to control termites is through good cultural practices. This includes maintaining good soil health and fertility, avoiding over-watering or waterlogging, and keeping crop residues and weeds under control. These practices can help to create a less favorable environment for termites and reduce their populations."
A mature horse shorter than 14 hands is considered?,pony 
what are the effects of climate change,"decreased crop yields, increased pest and disease pressure, and other challenges for farmers."
name one way a farmer can guard against drought?,"Crop Selection: Farmers should select crops that are adapted to their local climate and can tolerate drought conditions. Crops such as maize, sorghum, and millet are more drought-tolerant than others and can still produce a reasonable yield under limited water conditions."
what other way can a farmers control Cassava mosaic disease,Planting resistant varieties: Some cassava varieties have been developed that are resistant to CMD. These varieties should be used whenever possible to reduce the risk of disease.
How can i store beans safely?,"Clean and dry the beans: Remove any debris, dirt or broken beans. Then, spread them out on a clean, dry surface, like a tarp or a concrete floor, to dry. Make sure they are completely dry before storing them."
how do ranchers administer antibiotics?,according to the instructions on the label and under the direction of a veterinarian
How can i know that soil lacks air as a major nutrient,"To determine whether soil lacks air, you can perform a simple test called the squeeze test. Take a handful of soil and squeeze it tightly in your hand. If the soil remains in a tight ball and does not crumble, it may indicate that the soil is too compacted and lacks adequate air. Another indicator of soil lacking air is the presence of waterlogged areas or standing water after rain or irrigation."
Which common chemical is used for seed dressing,thiram
Which chemical is best for preserving beans seeds for long periods against weevils,"The chemical most commonly used for preserving beans seeds against weevils is called diatomaceous earth. It is a natural, non-toxic substance made from the fossilized remains of diatoms, which are a type of algae. When diatomaceous earth is applied to bean seeds, it dehydrates and kills the weevils by drying out their outer layer."
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
Which cassava disease is the most devastation in Uganda?,Cassava Brown Streak Disease (CBSD)
what method is used to overcome embryo dormancy.,stratification
where area is  shifting cultivation done.,"This type of farming is practiced mainly in areas with abundant rainfall where the forest regenerates quickly. This practice is used in Northeast India, Southeast Asia, and the Amazon Basin."
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
which diseases can be spread by whiteflies?,"The whiteflies can spread viruses such as CMD and CBSD, which can cause significant losses for farmers."
What are the common pests and diseases that affect maize?,"armyworms, cutworms, and aphids, while diseases such as corn smut and gray leaf spot can also affect the crop"
name the various forms in which fertilizers can be applied?,"granular, liquid, and foliar applications."
what is final stage in crop cultivation,Harvesting
How often can i sprinkle liquid manure?,"Generally, liquid manure can be applied every 2-4 weeks during the growing season for most crops. However, it is important to avoid over-application, which can lead to nutrient imbalances, water pollution, and plant damage."
which vitamins helps blood cell and DNA development,B12 
what interval should CAN be used.,intervals of between 6 weeks
